keys,en,es
,,
DECLARE_WAR,Declare war,Declarar guerra
OFFER_PEACE,Offer peace,Ofrecer paz
PEACE_OFFER,Peace offer,Oferta de paz
IMPROVE_REL,Improve relationship,Mejorar relaciones
DECREASE_REL,Decrease relationship,Empeorar relaciones
ANNEX_STATE,Annex State,Anexionar Estado
DEMMAND_PROVINCES,Demmand provinces,Demandar provincias
MAKE_CLIENT_STATE,Make client State,Hacer Estado cliente
,,
,,
WHITE_PEACE,White Peace,Paz Blanca
,,
,,
,,
POLITICAL,Political,Político
TERRAIN,Terrain,Terreno
RELIGION,Religion,Religión
CULTURE,Culture,Cultura
LOYALTY,Loyalty,Lealtad
DIPLOMATIC,Diplomatic,Diplomático
,,
,,
GOLD,Gold,Oro
GOLD_HINT,Gold is obtained from your provinces and buildings,El oro es obtenido de tus provincias y edificios
MANPOWER,Manpower,Soldadezca
MANPOWER_HINT,Manpower is obtained from the provinces population and buildings,La soldadezca se obtiene de la población de las provincias y edificios
COST,Cost,Costo
UPKEEP,Upkeep,Mantenimiento
SIZE,Size,Tamaño
CREATE_ARMY,Create army,Crear ejercito
MANPOWER_NEEDED,Manpower needed,Soldadezca necesaria
DIPLOMACY,Diplomacy,Diplomacia
NATIONS,Nations,Naciones
NATION,Nation,Nación
RECRUITED_IN,Recruited in,Reclutados en
PROVINCE_TO_SPAWN_IN,Province to spawn in:,Provincia en la que crearlo:
,,
POPULATION,Population,Población
INCOME,Income,Ingresos
BUILD_TIME,Build time,Tiempo de construcción
RELIGION,Religion,Religión
RELIGIOUS_CONVERTION,Religious convertion,Conversión religiosa
CULTURE,Culture,Cultura
,,
LATIN,latin,latín
CELT,celt,celta
GREEK,greek,griego
PHOENICIAN,phoenician,fenicio
EGYPTIAN,egyptian,egipcio
BRETON,breton,bretón
GERMANIC,germanic,germano
HEBREW,hebrew,hebreo
ARAMEAN,aramean,arameo
IBERIAN,iberian,íbero
ASSYRIAN,assyirian,asirio
CELTIBERIAN,celtiberian,celtibero
ARMENIAN,armenian,armenio
PERSIAN,persian,persa
ILLYRIAN,illyrian,illirio
TRACIAN,tracian,tracio
,,
HELLENIC,hellenic,heleno
CELTIC,celtic,celta
PUNIC,punic,púnico
JUDAISM,judaism,judaísmo
ASSYRIAN_POLYTHEISM,assyirian politeism,politeísmo asirio
ZOROASTRIANISM,zoroastrianism,zoroastrianismo
,,
GOVERNMENT_HALL,Government  hall,Centro de gobierno
FARM,Farm,Granja
MARKET,Market,Mercado
TEMPLE,Temple,Templo
THEATER,Theater,Teatro
,,
GOVERNMENT_HALL_DESC,"A government building, that is really cool",Edificio gubernamental
FARM_DESC,The farm than farms doing the farming.,La granja para granjear
MARKET_DESC,Buy and sell,Vende y compra
TEMPLE_DESC,PRAY THE SUN,PRAY THE SUN
THEATER_DESC,LETS GET READY FOR GLADIATOR’S FIGHTS,VAMO ÑUEEELS
,,
NO_BONUS,No bonus,Sin bonificación
BONUS_INCOME,Bonus income,Bonificación de ingresos
BONUS_MANPOWER,Bonus manpower,Bonificación de soldadezca
